Name,ID,Publisher Name,Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Downloads First 30 Days (WW),Most Popular Country by Downloads,"RPD (All Time, WW)",Game Art Style,Game Theme,Game Genre,Game Setting
I Am Monkey,68e9ae40c9038fd5d0be8652,Estoty,560c7a348ac350643902e205,2023/12/3,Unified,Games,7114724,7114724,,12830.59,12830.59,,15982,15982,,6627486,India,$0.00 ,3D Cartoon,Animal - Zoo / Other,Action,Modern
RUSH: Xtreme,68788ae9403f1fd5572ade04,SayGames,5bb5a48345f4430ad72c6f04,2023/12/3,Unified,Games,5238693,5238693,,56967.08,56967.08,,11823,11823,,4958258,India,$0.01 ,3D Realistic,Sports - Alternative,Racing,Sci-Fi
ScarFall 2.0 : Battle Royale,686dc4ccf990a452ddc48e60,XSQUADS Tech,60f1db81899b377637f0f3c1,2023/12/3,Unified,Games,4636177,4636177,,79107.58,79107.58,,25670,25670,,3826415,India,$0.02 ,3D Realistic,Combat Arena,Shooter,Modern
Romance Club - Stories I Play,5a9f52d9ff26dc4c6d26fb57,Your Story Interactive,58f97c54025d2a355a00094b,2023/12/3,Unified,Games,14470870,-4642050,-0.242875,8922793.99,2643898.23,0.421077,1767753,-617089,-0.258755,1912,Russia,$0.47 ,2D Realistic,Drama,Lifestyle,Modern
Legend of the Phoenix,5dcc004fb9ab9453c93761c3,Modo Global,5dfd4be8f4576f103939dafd,2023/12/3,Unified,Games,5075875,34014,0.006746,16510628.4,-10116534.99,-0.379933,93239,-57365,-0.3809,363872,Russia,$4.53 ,2D Realistic,Chinese Cultural,Strategy,Historical
Covet Fashion: Dress Up Game,55c509ac02ac64f9c0002253,Electronic Arts,56289c8802ac6486a700139c,2023/12/3,Unified,Games,4935802,-2769388,-0.359419,33580739.87,-18752273.66,-0.358326,323640,-157696,-0.327621,160446,US,$3.80 ,2D Realistic,Fashion / Aesthetics / Hair,Lifestyle,Modern
Everskies: Avatar Dress up,622015e30b2bad4152b6d4be,Pocket Worlds,5f7cc096d47545042d680972,2023/12/3,Unified,Games,4298256,-7527149,-0.636524,2204026.85,463232.28,0.266104,165075,-135332,-0.450495,259632,Brazil,$0.24 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,N/A
Lily Diary : Dress Up Game,5f2e54e3ff1e1b49ca7d49a0,SeyeonSoft,592c72d3f329d524c200018c,2023/12/3,Unified,Games,4051074,-16995978,-0.807523,42111.66,-168615.09,-0.80016,105531,-265771,-0.715781,264705,Russia,$0.01 ,2D Anime,Fashion / Aesthetics / Hair,Lifestyle,N/A
Boba Story,610f77279c96214ec4fe1388,Honey B Games,665e3b90a2254578e218f24a,2023/12/3,Unified,Games,3446455,-3600675,-0.510942,10224.57,10224.57,,40356,-15301,-0.274916,71632,Russia,$0.00 ,2D Cartoon,Otome,Simulation,Cartoon Fantasy
My Sticker Room - Decor Game,67e7e84c30e9aff0c9cc82c7,SayGames,5bb5a48345f4430ad72c6f04,2023/12/3,Unified,Games,11728027,11728027,,130205.4,130205.4,,65772,65772,,3270202,Indonesia,$0.01 ,2D Cartoon,Decoration,Lifestyle,Cartoon Fantasy
Adorable Home,5dc7a920f2930b6bed0b0105,HyperBeard,584911cd0211a64a5f0002c4,2023/12/3,Unified,Games,8991158,-7015945,-0.438302,1151970.03,-732321.16,-0.388645,148790,-225376,-0.602342,1790386,Philippines,$0.13 ,2D Cartoon,Animal - Cat,Lifestyle,N/A
Decor Match,61e1fde5b3ae2736aaa47cd0,Tripledot Studios,5a63fb6f68c90d39d2db5430,2023/12/3,Unified,Games,4546992,828603,0.222839,17845064.04,7411209.49,0.710304,201278,161567,4.06857,125532,Brazil,$3.42 ,2D Realistic,Decoration,Puzzle,Modern
Tidy Master - Satisfeel ASMR,673d588e4536acc433fe8e37,PixOn Games,6807b41285a660aa1dae74da,2023/12/3,Unified,Games,23303637,23303637,,319685.94,319685.94,,242507,242507,,3208412,Indonesia,$0.02 ,Hypercasual,Hypercasual,Simulation,N/A
Super Stylist Fashion Makeover,5bff4f844dc42911d36c600f,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,20562929,-15129611,-0.423887,4256621.28,-7234679.62,-0.629579,260676,-398886,-0.604774,1267235,Brazil,$0.22 ,3D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
SuitU: Fashion Avatar Dress UP,63d6584bc6086b28bf3830c7,Libii,640feb3a12807b54730a604d,2023/12/3,Unified,Games,10211335,7422696,2.661763,29930701.58,24890756.07,4.938695,349758,305213,6.85179,438244,US,$2.69 ,2D Anime,Fashion / Aesthetics / Hair,Lifestyle,Modern
My Dear Farm,619e97f6b3ae27067537744c,HyperBeard,584911cd0211a64a5f0002c4,2023/12/3,Unified,Games,6343804,-2005536,-0.240203,241838.84,73804.54,0.439223,53766,1000,0.018952,1525330,Vietnam,$0.03 ,2D Cartoon,Farming,Simulation,Cartoon Fantasy
Fashion Nova: Merge & Stylist,641ee736b3ae272dedb40182,Rosecrab,62ad39648e1aae7ba572612e,2023/12/3,Unified,Games,4345425,2953482,2.121841,426343.98,246410.7,1.369456,245945,227970,12.682615,48684,Brazil,$0.10 ,2D Cartoon,Fashion / Aesthetics / Hair,Puzzle,Modern
Pocket Love,611983f93672c64f6f0216d6,HyperBeard,584911cd0211a64a5f0002c4,2023/12/3,Unified,Games,12962005,-13515462,-0.510451,964025.03,-646879.45,-0.401563,178826,-165600,-0.4808,2608152,Brazil,$0.07 ,2D Cartoon,Chibi Creature,Lifestyle,Modern
Romantic Blast: Love Stories,64dae220ef20773252afe191,Pexix,64b8a7afca97157974fedda7,2023/12/3,Unified,Games,7472072,5137694,2.200883,214961.31,159860.39,2.901229,224209,213496,19.928685,97172,Turkey,$0.03 ,2D Cartoon,Drama,Puzzle,Modern
Fridge Organizing 3D,65795c1e3e58e37911b42493,TigerGame,62c493bd5b179051a1f3ff72,2023/12/3,Unified,Games,6820754,6820754,,1123.73,1123.73,,61127,61127,,611062,Russia,$0.00 ,Hypercasual,Cooking / Food,Puzzle,N/A
Redecor - Home Design Game,5c135cb8249f1f505c245527,Playtika,5614c22f3f07e25d290063a9,2023/12/3,Unified,Games,6123213,-8726235,-0.587647,41731757.09,-37555992.13,-0.473667,349791,-478644,-0.577769,698787,US,$4.76 ,2D Realistic,Decoration,Lifestyle,Modern
